ResponseId,Trigger,Trigger Intermediate,Uniqueness Trigger,Full Uniqueness description,Action Intermediate,Action,,Full Uniqueness description,Intersection: 0 = common; 1 = unique ,,,note,
R_2t9VfWrI4EnmkFI,mode is Away AND time is (after sunset),"location.mode==""away"" &&  time==""sunset""",away and sunset,if (away and sunset) then (light on),light_bulb.on,switch on the Light Bulb,,if (away and sunset) then (light on),0,Bright When Dark And/Or Bright After Sunset,,,
R_2t9VfWrI4EnmkFI,mode is Away AND time is (after 10pm +- random(30 minutes),"location.mode==""away"" && time==""night""",away and night,if (away and night) then (light off),light_bulb.off,switch off the Light Bulb,,if (away and night) then (light off),0,Bright When Dark And/Or Bright After Sunset,Smart Nightlight,,
R_2t9VfWrI4EnmkFI,temperature outside > 80 F AND mode is Away,"e_temperature.temperatureMeasurement >80, mode==""away""",away and high temperature ,if (away and high temperature ) then (set ac and close blinds),"ac.setLevel = 79; blind.switch = ""off""",set level of Air Conditioner to 79F AND close blinds,,if (away and high temperature ) then (set ac and close blinds),1,,,,
R_2t9VfWrI4EnmkFI,temperature outside > 80 F AND mode is Home,"e_temperature.temperatureMeasurement>80, mode==""home""",home and high temperature ,if (home and high temperature ) then (set ac),ac.setLevel = 76,set level of Air Conditioner to 76F,,if (home and high temperature ) then (set ac),0,It's Too Hot,,,
R_2t9VfWrI4EnmkFI,temperature < 50F AND mode is Away,"temp_sensor.temperature < 50, mode == ""away""",away and low temperature,if (away and low temperature) then (set thermostat),thermostat.setHeatingSetpoint = 55,set heatingSetpoint of Thermostat to 55F,,if (away and low temperature) then (set thermostat),0,It's Too Hot,,,
R_2t9VfWrI4EnmkFI,temperature < 60F AND mode is Home,"temp_sensor.temperature < 60, mode == ""home""",home and low temperature,if (home and low temperature) then (set thermostat),thermostat.setHeatingSetpoint = 60,set heatingSetpoint of Thermostat to 60F,,if (home and low temperature) then (set thermostat),0,It's Too Hot,,,
R_2qCTtKzrTR0o2kN,if Thermostat.measure > 72,thermostat.temperature >72,high temperature,if (high temperature) then (fan on and ac on),"fan.switch = ""on""; ac.switch = ""on""",turn on Fan AND turn on Air Conditioner,,if (high temperature) then (fan on and ac on),0,It's Too Hot,,,
R_2qCTtKzrTR0o2kN,if Thermostat.measure >= 72,thermostat.temperature <72,low temperature,if (low temperature) then (fan off and ac off),"fan.switch = ""off""; ac.switch = ""off""",turn off Fan and turn off Air Conditioner,,if (low temperature) then (fan off and ac off),0,It's Too Hot,,,
R_2qCTtKzrTR0o2kN,if CO_Detector.alarm() OR Gas_Sensor.alarm(),"co.alarm==true, gas.alarm==true",co_alarm on or gas_alarm on,if (co_alarm on or gas_alarm on) then (security alarm strobe),"security_alarm.setAlarmMode = ""strobe""",flash All_lights AND Security_Alarm.strobe,,if (co_alarm on or gas_alarm on) then (security alarm strobe),1,,,no co_alarm,
R_2qCTtKzrTR0o2kN,if Motion_Sensor.trigger(),motion==true,motion on,if (motion on) then (camera record),security_camera.captureClip(),Security_Camera.record(),,if (motion on) then (camera record),1,,,,
R_28CVLCPHKAGJ20N,current temperature is less than or greater than 70 (<=),temp_sensor.temperature <=72,low temperature,if (low temperature) then (electric blanket on),electric_blanket.on,switch on electric blanket,,if (low temperature) then (electric blanket on),1,,,no electric blanket,
R_28CVLCPHKAGJ20N,house_temperature < 70,house_temperature.temperature < 70,low temperature,if (low temperature) then (ac mode heat and set ac),"ac.setAirConditionerMode = ""heat""; ac.setLevel = 70",setAirConditionerMode of Air_Conditioner = heat AND setLevel = 70,,if (low temperature) then (ac mode heat and set ac),0,It's Too Hot,,,
R_28CVLCPHKAGJ20N,house_temperature >70,house_temperature.temperature > 70,high temperature,if (high temperature) then (ac mode cool and set ac),"ac.setAirConditionerMode = ""cool""; ac.setLevel = 70",setAirConditionerMode of Air Conditioner to cool AND setLevel of 70,,if (high temperature) then (ac mode cool and set ac),0,It's Too Hot,,,
R_28CVLCPHKAGJ20N,moisture_state = wet,"moisture_state == ""wet""",wet,if (wet) then (alarm strobe),"security_alarm.setAlarmMode = ""strobe""",setAlarmMode of Security Alarm to Strobe,,if (wet) then (alarm strobe),1,,,,
R_28CVLCPHKAGJ20N,smoke of Smoke Detector is true,"smoke_detector.state == ""smoke""",smoke,if (smoke) then (alarm siren),"security_alarm.setAlarmMode = ""siren""",setAlarmMode of Security Alarm to Siren,,if (smoke) then (alarm siren),1,,,,
R_28CVLCPHKAGJ20N,Doorbell is pushed,"doorbell.state == ""open""",doorbell ring,if (doorbell ring) then (camera on),security_camera.on,switch Security Camera on,,if (doorbell ring) then (camera on),1,,,no doorbell,
R_28CVLCPHKAGJ20N,time is 11:00 PM,time == 2300,At night,if (At night) then (lock door),door_lock.lock,lock Door Lock,,if (At night) then (lock door),0,Lock it at a specific time,,,
R_28CVLCPHKAGJ20N,shock of Glass Break Detector,glass_break_detector == true,glass break,if (glass break) then (alarm siren),"security_alarm.setAlarmMode = ""siren""",setAlarmMode of Security Alarm to Siren,,if (glass break) then (alarm siren),1,,,no glass break detector,
R_3CEnRUulCghqK1C,CO Detector's carbonMonoxide value is above 1,co.coLevel >1,co level > 1,if (co level > 1) then (alarm siren),"security_alarm.setAlarmMode = ""siren""",set alarm to Siren send notification to my_phone,,if (co level > 1) then (alarm siren),0,CO2 Vent,,no co level,
R_3CEnRUulCghqK1C,smoke value exceeds threshold,"smoke_detector.state == ""smoke""",smoke,if (smoke) then (alarm siren),"security_alarm.setAlarmMode = ""siren""",trigger alarm AND send notification to my_phone,,if (smoke) then (alarm siren),1,,,,
R_3CEnRUulCghqK1C,month value is greater than 10 AND less than 4 AND my_phone is at Home,"time.month > 10 && time.day < 4 && location.mode == ""home""",winter and early in month and home,if (winter and early in month and home) then (set ac),ac.setLevel = 72,switch Air Conditioner on AND set level to 72,,if (winter and early in month and home) then (set ac),0,,,,
R_3CEnRUulCghqK1C,Security Camera takes image of a person at night time,"security_camera.detectedMotion() && time == ""night""",motion && night,if (motion && night) then (notify phone),notify_phone,send notification to my_phone,,if (motion && night) then (notify phone),0,Text Me When There's Motion and I'm Not Here,Smart Care - Detect Motion,,
R_3CEnRUulCghqK1C,Blood Pressure Monitor's pressure value > 130,blood_pressure_monitor.pressure > 130,high blood pressure,if (high blood pressure) then (notify phone),notify_phone,send notification to my_phone AND send notification to family_phone,,if (high blood pressure) then (notify phone),1,,,no blood pressure monitor,
R_3CEnRUulCghqK1C,Mode is Away,"location.mode == ""away""",away,if (away) then (ac on and security camera on and water leak detector on and glass break detector on),ac.switch.off; security_camer.on; water_leak_detector.on;  glass_break_detector.on,switch off Air Conditioner AND turn on Security Camera AND Water Leak Detector AND Glass Break Detector,,if (away) then (ac on and security camera on and water leak detector on and glass break detector on),0,Make It So,,,
R_3iXtGYNSBwXUp75,mode == away,"location.mode == ""away""",away,if (away) then (switch off all appliances),ac.off; oven.off; cooktop.off,switch off all appliances except for sensors/safety appliances,,if (away) then (switch off all appliances),0,Make It So,,,
R_3iXtGYNSBwXUp75,time > 000 AND time < 700,time > 000 && time < 700,early morning,if (early morning) then (open shade),window_shade.open-presetPosition = 90,set windowShade : open (90 degrees),,if (early morning) then (open shade),0,Smart turn it on,,no shade,
R_3iXtGYNSBwXUp75,time > 700 AND time < 1200,time > 700 && time < 1200,morning,if (morning) then (open shade),window_shade.open-presetPosition = 45,set windowShade : open (45 degrees),,if (morning) then (open shade),0,Smart turn it on,,,
R_3iXtGYNSBwXUp75,if time >1200 AND time < 2300,time > 1200 && time < 2300,rest of day,if (rest of day) then (close shade),window_shade.close,set windowShade : close,,if (rest of day) then (close shade),1,,,,
R_3iXtGYNSBwXUp75,if mode == home,"location.mode == ""home""",home,"if (home) then (ac on, robot on and oil warmer on)",ac.on; robot_vaccum.on; oil_warmer.on,turn on air conditioner | robot vacuum | oil warmer | etc. (all non-essential appliances except for need-based | such as dryer | smart TV),,"if (home) then (ac on, robot on and oil warmer on)",0,Make It So,,no robot vacuum,no oil warmer
R_3iXtGYNSBwXUp75,if time => 2200,time >= 2200,night,if (night) then (turn on sleep monitor),sleep_monitor.on,turn on sleep monitor,,if (night) then (turn on sleep monitor),0,Smart turn it on,,no sleep monitor,
R_3iXtGYNSBwXUp75,if temperature < 60,temp_sensor.temperature <60,low temperature,if (low temperature) then (turn on blanket),electric_blanket.on,turn on electric blanket,,if (low temperature) then (turn on blanket),1,,,,
R_3iXtGYNSBwXUp75,if pulse monitor increases a set amount,pluse_monitor.desc > threshold,high pulse rate,if (high pulse rate) then (turn on oil warmer),oil_warmer.on,turn on oil warmer,,if (high pulse rate) then (turn on oil warmer),1,,,,
R_3iXtGYNSBwXUp75,if motionSensor is triggered OR glassBreakDetector is triggered,motion==true || glass_break_detector == true,motion or glass break,if (motion or glass break) then (set alarm),"security_alarm.setAlarmMode = ""both""",(Security Alarm) setAlarm(both),,if (motion or glass break) then (set alarm),1,,,,
R_3iXtGYNSBwXUp75,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,"smoke_detector.state == ""smoke"" || co.state == ""detected"" || water_leak .water== ""wet""",smoke or co or water leak,if (smoke or co or water leak) then (set alarm),"security_alarm.setAlarmMode = ""siren""",(Security Alarm) setAlarm(siren),,if (smoke or co or water leak) then (set alarm),1,,,,
R_3iXtGYNSBwXUp75,if time > 2000,time > 2000,night,if (night) then (lock door),door_lock.lock,Door Lock(lock),,if (night) then (lock door),0,Smart Nightlight,,,
R_3iXtGYNSBwXUp75,if mode is set to Vacation,"location.mode == ""vacation""",vacation,if (vacation) then (change code),lock.setCode(),Prompt for Door Lock code change,,if (vacation) then (change code),1,,,,
R_3iXtGYNSBwXUp75,if presenceSensor in bathroom is triggered,bathroom_presence_sensor == true,bathroom motion,if (bathroom motion) then (mirror on and speaker on),smart_mirror.on; speaker.on,SmartMirror: turn on | Speaker: turn on,,if (bathroom motion) then (mirror on and speaker on),1,,,no smart mirror,
R_3qKCsRG4pSRYX2c,a Smart Printer is idle for at least 5 minutes,smart_printer.idle_time > 5 *60,smart printer idle,if (smart printer idle) then (printer off),smart_printer.off,switch off the Smart Printer,,if (smart printer idle) then (printer off),1,,,no smart printer,
R_3qKCsRG4pSRYX2c,a Smoke Detector battery lower than 10%,smoke_detector.batteryLevel < 0.1,low battery in smoke detector,if (low battery in smoke detector) then (notify phone),notify_phone,warn user of low battery status,,if (low battery in smoke detector) then (notify phone),1,,,,
R_3qKCsRG4pSRYX2c,a Smoke Detector is tampered,smoke_detector.isTampered == true,smoke detector is tampered,if (smoke detector is tampered) then (notify phone),notify_phone,warn user of the situation,,if (smoke detector is tampered) then (notify phone),1,,,,
R_3qKCsRG4pSRYX2c,a Doorbell rings,"doorbell.state == ""open""",doorbell ring,if (doorbell ring) then (camera on),security_camera.on,switch on Security Camera,,if (doorbell ring) then (camera on),1,,,,
R_3qKCsRG4pSRYX2c,in Away mode AND a Light Bulb is on,"location.mode == ""away"" && light_blub.state == ""on""",away and light on,if (away and light on) then (light off),light_bulb.off,switch off the Light Bulb,,if (away and light on) then (light off),1,,,,
R_3qKCsRG4pSRYX2c,it's 12:00 a.m. AND an Air Conditioner is on,"time == 1200 && air_conditioner.state == ""on""",midnight and ac on,if (midnight and ac on) then (ac off),ac.off,switch off the Air Conditioner,,if (midnight and ac on) then (ac off),1,,,,
R_3qKCsRG4pSRYX2c,in Away mode,"location.mode == ""away""",away,if (away) then (lock door),door_lock.lock,lock the Door Lock,,if (away) then (lock door),0,Lock It When I Leave,,,
R_3qKCsRG4pSRYX2c,in Home mode,"location.mode == ""home""",home,if (home) then (set ac),"ac.setAirConditionerMode = ""auto""",setAirConditionerMode(auto),,if (home) then (set ac),1,,,,
R_3qKCsRG4pSRYX2c,it's 12:00 a.m.,time == 1200,midnight,if (midnight) then (mute audio player),audio_player.setMute(),setMute(Audio_Player),,if (midnight) then (mute audio player),1,,,no audio player,
R_e5I5j0VOCC4acet,carbonMonoxide value of CO Detector is > 0,co.level > 0,detected co,if (detected co) then (set alarm),"security_alarm.setAlarmMode = ""both""",execute alarm (both mode by default) | call emergency services | and alert me via phone notification,,if (detected co) then (set alarm),0,CO2 Vent,,,
R_e5I5j0VOCC4acet,I leave my home,"location.mode == ""away""",away,if (away) then (set thermostat),thermostat.setHeatingSetpoint = 79,set temperature value of Thermostat to 79 degrees,,if (away) then (set thermostat),0,Keep Me Cozy,,,
R_e5I5j0VOCC4acet,someone rings the Doorbell,"doorbell.state == ""open""",doorbell ring,if (doorbell ring) then (notify phone),notify_phone,alert me via house's Doorbell sound and via phone notification,,if (doorbell ring) then (notify phone),1,,,,
R_e5I5j0VOCC4acet,it is morning and weather report shows no rain,"time == ""morning"" && weather_station == ""no rain""",morning and no rain,if (morning and no rain) then (sprinkler on),sprinkler.on,switch Sprinkler on,,if (morning and no rain) then (sprinkler on),1,,,no sunny day,
R_e5I5j0VOCC4acet,energy value of Energy Meter for any device is > average,energy_meter.value > average,energy more than average,if (energy more than average) then (notify phone),notify_phone,alert me via phone notification,,if (energy more than average) then (notify phone),0,Energy Alerts,,,
R_e5I5j0VOCC4acet,I leave my home and Door Lock is unlocked,"location.mode == ""away"" && door_lock.state == ""unlocked""",away and door is unlocked,if (away and door is unlocked) then (lock door),door_lock.lock,set Door Lock to lock,,if (away and door is unlocked) then (lock door),0,Beacon Control,,,
R_e5I5j0VOCC4acet,shock value of Glass Break Detector is true,"glass_break_detector.state == ""shock""",glass break,if (glass break) then (camera on),security_camera.on,toggle Security Camera on,,if (glass break) then (camera on),1,,,,
R_e5I5j0VOCC4acet,home is in Vacation mode,"location.mode == ""vacation""",vacation,if (vacation) then (camera on and set alarm),"security_camera.on; security_alarm.setAlarmMode = ""both""",toggle Security Camera on AND set Security Alarm mode to both,,if (vacation) then (camera on and set alarm),0,Cameras On When I'm Away,only camera on,,
R_e5I5j0VOCC4acet,odorLevel value of Gas Sensor is > safe level,gas_sensor.ordorLevel > threshold,sensed gas,if (sensed gas) then (set alarm),"security_alarm.setAlarmMode = ""both""",toggle alarm (both mode by default) | call emergency services and alert me via phone notification,,if (sensed gas) then (set alarm),1,,,no gas detector,
R_e5I5j0VOCC4acet,water value of Water Leak Detector is wet,"water_leak_detector.state == ""wet""",water leak,if (water leak) then (set alarm),"security_alarm.setAlarmMode = ""both""",toggle alarm (both mode by default) and alert me via phone notification,,if (water leak) then (set alarm),0,Flood Alert!,,,
R_e5I5j0VOCC4acet,machineState value of Clothes Dryer is Running AND temperature value of LaundryRoom_TemperatureSensor is > average temperature value,"cloth_dryer.state == ""on"" && temp_sensor_laundryRoom > average",dryer running and high temperature,if (dryer running and high temperature) then (pause dryer),"dryer.setMachineState(""paused"")",set machineState value of Clothes Dryer to Paused,,if (dryer running and high temperature) then (pause dryer),1,,,no dryer or washer,
R_XBxgGATwfO82TDz,"the value of ""temperature"" is less than 70",temp_sensor.temperature < 70,low temperature,if (low temperature) then (set ac and water heater on),"ac.setAirConditionerMode = ""heat""; water_heater.on",Set the device Air Conditioner in heat mode AND set the device Water Heater to Switch On,,if (low temperature) then (set ac and water heater on),0,It's Too Cold,,,
R_XBxgGATwfO82TDz,"it is night and ""temperature"" of device ""Electric Blanket"" is less than 70","time == ""night"" && electric_blanket.temperature < 70",night and low temperature in electric blanket,if (night and low temperature in electric blanket) then (blanket on),electric_blanket.on,Switch on the Electric Blanket,,if (night and low temperature in electric blanket) then (blanket on),1,,,,
R_XBxgGATwfO82TDz,it is night and time is after 9PM,"time == ""night"" && time > 2100",night and after 9pm,if (night and after 9pm) then (change bulb color),bulb.setColorValue(soft_white),"set colorValue of device ""Light Bulb"" to Soft White",,if (night and after 9pm) then (change bulb color),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,time is 6AM,time == 600,morning,if (morning) then (bulb off),bulb.off,set the device Light Bulb to switch off,,if (morning) then (bulb off),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,time is 6PM,time == 1800,afternoon,if (afternoon) then (bulb on and change bulb color),bulb.on; bulb.setColorValue(day_white),set the device Light Bulb to switch on and set ColorValue of Device Light Bulb to Day White,,if (afternoon) then (bulb on and change bulb color),0,Notify Me With Hue,,,
R_XBxgGATwfO82TDz,"odorLevel detected by device ""Gas Sensor"" is high",gas_sensor.ordorLevel > threshold,high ordorLevel,if (high ordorLevel) then (set alarm both),"security_alarm.setAlarmMode = ""both""",setAlarmMode=both,,if (high ordorLevel) then (set alarm both),1,,,no ordor sensor,
R_XBxgGATwfO82TDz,"odorLevel detected by device ""Gas Sensor"" is low",gas_sensor.ordorLevel < threshold,low ordorLevel,if (low ordorLevel) then (set alarm off),"security_alarm.setAlarmMode = ""off""",setAlarmMode=off,,if (low ordorLevel) then (set alarm off),1,,,,
R_XBxgGATwfO82TDz,"humidity detected by device ""Humidity Sensor"" is high",humidity_sensor.humidity > threshold,high humidity,if (high humidity) then (set ac dryClean),"ac.setAirConditionerMode = ""dryClean""",set mode of device Air Conditioner to dryClean mode,,if (high humidity) then (set ac dryClean),0,Humidity Alert!,,,
R_XBxgGATwfO82TDz,value of smoke is detected by device Smoke Detector and value of temperature is above FireThreshold,"smoke_detector.state == ""smoke"" && temp_sensor.temperature > fire_threshold",smoke and high temperature,if (smoke and high temperature) then (set alarm both),"security_alarm.setAlarmMode = ""both""",trigger alarm,,if (smoke and high temperature) then (set alarm both),1,,,,
R_XBxgGATwfO82TDz,value of tamper by device Smoke Detector is tampered,smoke_detector.isTampered == true,smoke detector is tampered,if (smoke detector is tampered) then (notify phone),notify_phone,send sms alerting to check,,if (smoke detector is tampered) then (notify phone),1,,,,
R_XBxgGATwfO82TDz,value of battery by device Smoke Detector is low,smoke_detector.batteryLevel < low_battery_threshold,low battery in smoke detector,if (low battery in smoke detector) then (notify phone),notify_phone,send sms alerting to change,,if (low battery in smoke detector) then (notify phone),1,,,,
R_XBxgGATwfO82TDz,value of airQuality by device Air Purifier is low,air_purifier.quality < threshold,low air quality,if (low air quality) then (air purifier on),air_purifier.on,set the device to switch on,,if (low air quality) then (air purifier on),0,Humidity Alert!,,,
R_XBxgGATwfO82TDz,value of airQuality by device Air Purifier is high,air_purifier.quality > threshold,high air quality,if (high air quality) then (air purifier off),air_purifier.off,set the device to switch off,,if (high air quality) then (air purifier off),0,Humidity Alert!,,,
