ResponseId,ResponseId,Intersection: 0 = common; 1 = unique,Common app name,Trigger,Trigger String,Trigger Tokens,Action,Action Tokens,Frequency,Week,Time,Scheduled
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,Bright When Dark And/Or Bright After Sunset,mode is Away AND time is (after sunset),mode is Away AND time is (after sunset),"<null-null,locationMode-time,away-evening>",switch on the Light Bulb,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Weekend,Evening(5pm-8pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,Bright When Dark And/Or Bright After Sunset,mode is Away AND time is (after 10pm +- random(30 minutes),mode is Away AND time is (after 10pm +- random(30 minutes),"<null-null,locationMode-time,away-night>",switch off the Light Bulb,"<Light_Bulb,switch,off>",Few times in a month,Weekend,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,1,,temperature outside > 80F AND mode is Away,temperature outside > 80F AND mode is Away,"<Temperature_Sensor-null,temperature-locationMode,greater-away>",set level of Air Conditioner to 79F AND close blinds,"<Air_Conditioner-Shades/Blinds,thermostat-contact,decreased-closed>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature outside > 80F AND mode is Home,temperature outside > 80F AND mode is Home,"<Temperature_Sensor-null,temperature-locationMode,greater-home>",set level of Air Conditioner to 76F,"<Air_Conditioner,thermostat,decreased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature < 50F AND mode is Away,temperature < 50F AND mode is Away,"<Temperature_Sensor-null,temperature-locationMode,lesser-away>",set heatingSetpoint of Thermostat to 55F,"<Thermostat,thermostat,increased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2t9vfwri4enmkfi,r-2t9vfwri4enmkfi,0,It's Too Hot,temperature < 60F AND mode is Home,temperature < 60F AND mode is Home,"<Temperature_Sensor-null,temperature-locationMode,lesser-home>",set heatingSetpoint of Thermostat to 60F,"<Thermostat,thermostat,increased>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,0,It's Too Hot,if Thermostat.measure > 72,if Thermostat.measure > 72,"<Temperature_Sensor,temperature,greater>",turn on Fan AND turn on Air Conditioner,"<Air_Conditioner-Fan,thermostat-switch,auto-on>",Many times in a day (5+ /day),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,0,It's Too Cold,if Thermostat.measure >= 72,if Thermostat.measure >= 72,"<Temperature_Sensor,temperature,lesser>",turn off Fan and turn off Air Conditioner,"<Air_Conditioner-Fan,thermostat-switch,off-off>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,1,,if CO_Detector.alarm() OR Gas_Sensor.alarm(),if CO_Detector.alarm() OR Gas_Sensor.alarm(),"<CO_Detector-Gas_Sensor,alarm-alarm,siren-siren>",flash All_lights AND Security_Alarm.strobe,"<Light_Bulb-Security_Alarm,mode-alarm,flash-strobe>",Not Sure,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2qcttkzrtr0o2kn,r-2qcttkzrtr0o2kn,1,,if Motion_Sensor.trigger(),if Motion_Sensor.trigger(),"<Motion_Sensor,motion,detected>",Security_Camera.record(),"<Security_Camera,video,record>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am) | Anytime,Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,1,,current temperature is less than or greater than 70,current temperature is less than or greater than 70,"<Temperature_Sensor,temperature,lesser>",switch on electric blanket,"<Electric_Blanket,switch,on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,0,It's Too Hot,house_temperature < 70,house_temperature < 70,"<Temperature_Sensor,temperature,lesser>",setAirConditionerMode of Air_Conditioner  = heat AND setLevel = 70,"<Air_Conditioner,thermostat,increased>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,0,It's Too Hot,house_temperature >70,house_temperature >70,"<Temperature_Sensor,temperature,greater>",setAirConditionerMode of Air Conditioner to cool AND setLevel of  70,"<Air_Conditioner,thermostat,decreased>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,1,,moisture_state = wet,moisture_state = wet,"<Moisture_Sensor,water,wet>",setAlarmMode of Security Alarm to Strobe,"<Security_Alarm,alarm,strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,1,,smoke of Smoke Detector is true,smoke of Smoke Detector is true,"<Smoke_Detector,smoke,detected>",setAlarmMode of Security Alarm to Siren,"<Security_Alarm,alarm,siren>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,1,,Doorbell is pushed,Doorbell is pushed,"<Doorbell,button,pushed>",switch Security Camera on,"<Security_Camera,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Manually-triggered (e.g. |  a button press)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,0,Lock it at a specific time,time is 11:00 PM,time is 11:00 PM,"<null,time,night>",lock Door Lock,"<Door_Lock,lock,locked>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_28cvlcphkagj20n,r-28cvlcphkagj20n,1,,shock of Glass Break Detector,shock of Glass Break Detector,"<Glass_Break_Detector,shock,detected>",setAlarmMode of Security Alarm to Siren,"<Security_Alarm,alarm,siren>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,0,CO2 Vent,CO Detector's carbonMonoxide value is above 1,CO Detector's carbonMonoxide value is above 1,"<CO_Detector,carbonMonoxide,detected>",set alarm to Siren send notification to my_phone,"<Phone-Security_Alarm,notification-alarm,notify-siren>",Not Sure,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,1,,smoke value exceeds threshold,smoke value exceeds threshold,"<Smoke_Detector,smoke,detected>",trigger alarm AND send notification to my_phone,"<Phone-Security_Alarm,notification-alarm,notify-siren_strobe>",Not Sure,Weekday,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,0,,month value is greater than 10 AND less than 4 AND my_phone is at Home,month value is greater than 10 AND less than 4 AND my_phone is at Home,"<Temperature_Sensor-null,temperature-locationMode,lesser-home>",switch Air Conditioner on AND set level to 72,"<Air_Conditioner,thermostat,auto>",Few times in a year,Anytime,Morning(6am- 11am) | Evening(5pm-8pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,0,Text Me When There's Motion and I'm Not Here,Security Camera takes image of a person at night time,Security Camera takes image of a person at night time,"<Security_Camera-null,image-time,take-night>",send notification to my_phone,"<Phone,notification,notify>",Few times in a year,Weekday,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,1,,Blood Pressure Monitor's pressure value > 130,Blood Pressure Monitor's pressure value > 130,"<Blood_Pressure_Monitor,pressure,greater>",send notification to my_phone AND send notification to family_phone,"<Phone,notification,notify>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3cenruulcghqk1c,r-3cenruulcghqk1c,0,Make It So,Mode is Away,Mode is Away,"<null,locationMode,away>",switch off Air Conditioner AND turn on Security Camera AND Water Leak Detector AND Glass Break Detector,"<Air_Conditioner-Security_Camera,thermostat-switch,off-on>",Few times in a year,Not sure,Anytime,Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Make It So,mode == away,mode == away,"<null,locationMode,away>",switch off all appliances except for sensors/safety appliances,"<Air_Conditioner-Electric_Blanket-Robot_Vacuum-Oil_Warmer,thermostat-switch-switch-switch,off-off-off-off>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Smart turn it on,time == 0700,time > 000 AND time < 700,"<null,time,night>",set windowShade : opened (90 degrees),"<Shades/Blinds,threeAxis,fixed_value>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Smart turn it on,time == 1200,time > 700 AND time < 1200,"<null,time,morning>",set windowShade : opened (45 degrees),"<Shades/Blinds,threeAxis,fixed_value>",Few times in a day (1-5/day),Anytime,Around noon(11am-1pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,1,,time == 2300,if time >1200 AND time < 2300,"<null,time,afternoon>",set windowShade : close,"<Shades/Blinds,contact,closed>",Few times in a day (1-5/day),Anytime,Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Make It So,if mode == home,if mode == home,"<null,locationMode,home>",turn on air conditioner |  robot vacuum |  oil warmer |  etc. (all non-essential appliances except for need-based |  such as dryer |  smart TV),"<Air_Conditioner-Oil_Warmer-Robot_Vacuum-Smart_TV,thermostat-switch-switch-switch,auto-on-on-on>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Smart turn it on,if time => 2200,if time => 2200,"<null,time,night>",turn on sleep monitor,"<Sleep_Monitor,switch,on>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,1,,if temperature < 60,if temperature < 60,"<Temperature_Sensor,temperature,lesser>",turn on electric blanket,"<Electric_Blanket,switch,on>",Few times in a year,Anytime,Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,1,,if pulse monitor increases a set amount,if pulse monitor increases a set amount,"<Pulse_Monitor,pulse,greater>",turn on oil warmer,"<Oil_Warmer,switch,on>",Few times in a week (1-5/week),Weekday,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Smart Care - Detect Motion,if motionSensor is triggered OR glassBreakDetector is triggered,if motionSensor is triggered OR glassBreakDetector is triggered,"<Glass_Break_Detector,shock,detected>",(Security Alarm) setAlarm(both),"<Security_Alarm,alarm,siren_strobe>",Not Sure,Not sure,Not sure,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,,1,,if motionSensor is triggered OR glassBreakDetector is triggered,if motionSensor is triggered OR glassBreakDetector is triggered,"<Motion_Sensor,motion,detected>",(Security Alarm) setAlarm(both),"<Security_Alarm,alarm,siren_strobe>",Not Sure,Not sure,Not sure,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,CO2 Vent,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,"<Smoke_Detector,smoke,detected>",(Security Alarm) setAlarm(siren),"<Security_Alarm,alarm,siren>",Not Sure,Not sure,Not sure,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,,1,,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,"<CO_Detector,carbonMonoxide,detected>",(Security Alarm) setAlarm(siren),"<Security_Alarm,alarm,siren>",Not Sure,Not sure,Not sure,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,,0,Flood Alert!,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,if smokeDetector is triggered OR CODetector is triggered OR waterLeakDetector is triggered,"<Water_Leak_Detector,water,wet>",(Security Alarm) setAlarm(siren),"<Security_Alarm,alarm,siren>",Not Sure,Not sure,Not sure,Executed at random (e.g. |  every time I enter the room)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,0,Smart Nightlight,if time > 2000,if time > 2000,"<null,time,night>",Door Lock(lock),"<Door_Lock,lock,locked>",Few times in a day (1-5/day),Anytime,Night(8pm-6am) | Anytime,Scheduled-time (e.g. |  brew coffee at 7 am)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,1,,if mode is set to Vacation,if mode is set to Vacation,"<null,locationMode,vacation>",Prompt for Door Lock code change,"<Phone,notification,notify>",Few times in a year,Weekend,Morning(6am- 11am) | Around noon(11am-1pm),Manually-triggered (e.g. |  a button press)
r_3ixtgynsbwxup75,r-3ixtgynsbwxup75,1,,if presenceSensor in bathroom is triggered,if presenceSensor in bathroom is triggered,"<Presence_Sensor,presence,present>",SmartMirror: turn on |  Speaker: turn on,"<Smart_Mirror-Speaker,switch-switch,on-on>",Many times in a day (5+ /day),Weekday,Morning(6am- 11am) | Around noon(11am-1pm),Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,a Smoke Detector battery lower than 10%,a Smoke Detector battery lower than 10%,"<Smoke_Detector,battery,lesser>",warn user of low battery status,"<Phone,notification,notify>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,a Smoke Detector is tampered,a Smoke Detector is tampered,"<Smoke_Detector,tamper,detected>",warn user of the situation,"<Phone,notification,notify>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,a Doorbell rings,a Doorbell rings,"<Doorbell,button,pushed>",switch on Security Camera,"<Security_Camera,switch,on>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Manually-triggered (e.g. |  a button press)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,in Away mode AND a Light Bulb is on,in Away mode AND a Light Bulb is on,"<Light_Bulb-null,switch-locationMode,on-away>",switch off the Light Bulb,"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,it's 12:00 a.m. AND an Air Conditioner is on,it's 12:00 a.m. AND an Air Conditioner is on,"<Air_Conditioner-null,thermostat-time,auto-night>",switch off the Air Conditioner,"<Air_Conditioner,thermostat,off>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,0,Lock It When I Leave,in Away mode,in Away mode,"<null,locationMode,away>",lock the Door Lock,"<Door_Lock,lock,locked>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,in Home mode,in Home mode,"<null,locationMode,home>",setAirConditionerMode(auto),"<Air_Conditioner,thermostat,auto>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3qkcsrg4psryx2c,r-3qkcsrg4psryx2c,1,,it's 12:00 a.m.,it's 12:00 a.m.,"<null,time,night>",setMute(Audio_Player),"<Audio_Player,mute,muted>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,CO2 Vent,carbonMonoxide value of CO Detector is > 0,carbonMonoxide value of CO Detector is > 0,"<CO_Detector,carbonMonoxide,detected>",execute alarm (both mode by default) |  call emergency services |  and alert me via phone notification,"<Phone-Security_Alarm,notification-alarm,notify-siren_strobe>",Not Sure,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,Keep Me Cozy,I leave my home,I leave my home,"<null,locationMode,away>",set temperature value of Thermostat to 79 degrees,"<Thermostat,thermostat,increased>",Many times in a day (5+ /day),Weekday,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,1,,someone rings the Doorbell,someone rings the Doorbell,"<Doorbell,button,pushed>",alert me via house's Doorbell sound and via phone notification,"<Phone,notification,notify>",Few times in a week (1-5/week),Anytime,Anytime,Manually-triggered (e.g. |  a button press)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,1,,it is morning and weather report shows no rain,it is morning and weather report shows no rain,"<Weather_Station-null,rain-time,false-morning>",switch Sprinkler on,"<Sprinker,switch,on>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,Energy Alerts,energy value of Energy Meter for any device is > average,energy value of Energy Meter for any device is > average,"<Energy_Meter,energy,greater>",alert me via phone notification,"<Phone,notification,notify>",Few times in a month,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,Beacon Control,I leave my home and Door Lock is unlocked,I leave my home and Door Lock is unlocked,"<Door_Lock-null,lock-locationMode,unlocked-away>",set Door Lock to lock,"<Door_Lock,lock,locked>",Few times in a month,Anytime,Morning(6am- 11am) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,1,,shock value of Glass Break Detector is true,shock value of Glass Break Detector is true,"<Glass_Break_Detector,shock,detected>",toggle Security Camera on,"<Security_Camera,switch,on>",Not Sure,Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,Cameras On When I'm Away,home is in Vacation mode,home is in Vacation mode,"<null,locationMode,vacation>",toggle Security Camera on AND set Security Alarm mode to both,"<Security_Alarm-Security_Camera,alarm-switch,siren_strobe-on>",Few times in a year,Weekend,Anytime,Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,1,,odorLevel value of Gas Sensor is > safe level,odorLevel value of Gas Sensor is > safe level,"<Gas_Sensor,odorLevel,greater>",toggle alarm (both mode by default) |  call emergency services and alert me via phone notification,"<Phone-Security_Alarm,notification-alarm,notify-siren_strobe>",Not Sure,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_e5i5j0vocc4acet,r-e5i5j0vocc4acet,0,Flood Alert!,water value of Water Leak Detector is wet,water value of Water Leak Detector is wet,"<Water_Leak_Detector,water,wet>",toggle alarm (both mode by default) and alert me via phone notification,"<Phone-Security_Alarm,notification-alarm,notify-siren_strobe>",Not Sure,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,It's Too Cold,"the value of ""temperature"" is less than 70","the value of ""temperature"" is less than 70","<Temperature_Sensor,temperature,lesser>",Set the device Air Conditioner in heat mode AND set the device Water Heater to Switch On,"<Thermostat-Water_Heater,thermostat-switch,increased-on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,"it is night and ""temperature"" of device ""Electric Blanket"" is less than 70","it is night and ""temperature"" of device ""Electric Blanket"" is less than 70","<Temperature_Sensor-null,temperature-time,lesser-night>",Switch on the Electric Blanket,"<Electric_Blanket,switch,on>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Notify Me With Hue,it is night and time is after 9PM,it is night and time is after 9PM,"<null,time,night>","set colorValue of device ""Light Bulb"" to Soft White","<Light_Bulb,colorValue,fixed_value>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Notify Me With Hue,time is 6AM,time is 6AM,"<null,time,morning>",set the device Light Bulb to switch off,"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Notify Me With Hue,time is 6PM,time is 6PM,"<null,time,evening>",set the device Light Bulb  to switch on and set ColorValue of Device Light Bulb to Day White,"<Light_Bulb,colorValue,fixed_value>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,"odorLevel detected by device ""Gas Sensor"" is high","odorLevel detected by device ""Gas Sensor"" is high","<Gas_Sensor,odorLevel,greater>",setAlarmMode=both,"<Security_Alarm,alarm,siren_strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,"odorLevel detected by device ""Gas Sensor"" is low","odorLevel detected by device ""Gas Sensor"" is low","<Gas_Sensor,odorLevel,lesser>",setAlarmMode=off,"<Security_Alarm,alarm,off>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Humidity Alert!,"humidity detected by device ""Humidity Sensor"" is high","humidity detected by device ""Humidity Sensor"" is high ","<Humidity_Sensor,humidity,greater>",set mode of device Air Conditioner to dryClean mode,"<Air_Conditioner,thermostat,auto>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,value of smoke is detected by device Smoke Detector and value of temperature is above FireThreshold,value of smoke is detected by device Smoke Detector and value of temperature is above FireThreshold,"<Smoke_Detector-Temperature_Sensor,smoke-temperature,greater-greater>",trigger alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,value of tamper by device Smoke Detector is tampered,value of tamper by device Smoke Detector is tampered,"<Smoke_Detector,tamper,detected>",send sms alerting to check,"<Phone,notification,notify>",Not Sure,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
