ResponseId,ResponseId,Intersection: 0 = common; 1 = unique,Common app name,Trigger,Trigger String,Trigger Tokens,Action,Action Tokens,Frequency,Week,Time,Scheduled
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,1,,value of battery by device Smoke Detector is low,value of battery by device Smoke Detector is low,"<Smoke_Detector,battery,lesser>",send sms alerting to change,"<Phone,notification,notify>",Not Sure,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Humidity Alert!,value of airQuality by device Air Purifier is low,value of airQuality by device Air Purifier is low,"<Air_Purifier,airQuality,lesser>",set the device to switch on,"<Air_Purifier,switch,on>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_xbxggatwfo82tdz,r-xbxggatwfo82tdz,0,Humidity Alert!,value of airQuality by device Air Purifier is high,value of airQuality by device Air Purifier is high,"<Air_Purifier,airQuality,greater>",set the device to switch off,"<Air_Purifier,switch,off>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_ttvbkmxo7atmgm5,r-ttvbkmxo7atmgm5,0,It's Too Cold,temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),"<Temperature_Sensor-null,temperature-time,lesser-morning>",setLevel 75 degrees,"<Thermostat,thermostat,auto>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_ttvbkmxo7atmgm5,,0,It's Too Cold,temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),"<Temperature_Sensor-null,temperature-time,lesser-afternoon>",setLevel 75 degrees,"<Thermostat,thermostat,auto>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_ttvbkmxo7atmgm5,,0,It's Too Cold,temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),temperatue <= 70 AND (time between 9 and 5 OR time between 9pm and 7 am),"<Temperature_Sensor-null,temperature-time,lesser-night>",setLevel 75 degrees,"<Thermostat,thermostat,auto>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_ttvbkmxo7atmgm5,r-ttvbkmxo7atmgm5,0,Smart turn it on,time == 7am and daye between Monday and Friday,time == 7am and daye between Monday and Friday,"<null,time,morning>",coffeeMaker switch ON and Bedroom lightbulb switch ON and setRobotCleanerCleaningMode Auto,"<Coffee_Maker-Light_Bulb-Robot_Vacuum,switch-switch-switch,on-on-on>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,0,Ridiculously Automated Garage Door,threeAxis is within 100 feet of the house,threeAxis is within 100 feet of the house,"<Presence_Sensor,presence,present>",opened garage door,"<Garage_Door_Opener,contact,opened>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,1,,shock detected,shock detected,"<Glass_Break_Detector,shock,detected>",trigger security alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,1,,motion sensor detects motion outside,motion sensor detects motion outside,"<Motion_Sensor,motion,detected>",security camera switch on,"<Security_Camera,switch,on>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,1,,odorLevel detector returns high values,odorLevel detector returns high values,"<Gas_Sensor,odorLevel,greater>",setAlarmMode(both),"<Security_Alarm,alarm,siren_strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,0,Light Follows Me,device enters room with light AND light is already off,device enters room with light AND light is already off,"<Beacon_Device-Light_Bulb,presence-switch,present-off>",light switch on,"<Light_Bulb,switch,on>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2v8emucerybqm6e,r-2v8emucerybqm6e,0,Light Follows Me,device exits room with light AND light is already on,device exits room with light AND light is already on,"<Beacon_Device-Light_Bulb,presence-switch,not_present-on>",light switch off,"<Light_Bulb,switch,off>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Beacon Control,LivingRoom_BeaconDevice presence equals true,LivingRoom_BeaconDevice presence equals true,"<Beacon_Device,presence,present>",Switch on Smart TV,"<Smart_TV,switch,on>",Few times in a day (1-5/day),Weekend,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Beacon Control,LivingRoom_BeaconDevice presence equal false,LivingRoom_BeaconDevice presence equal false,"<Beacon_Device,presence,not_present>",Switch off Smart TV,"<Smart_TV,switch,off>",Few times in a day (1-5/day),Weekend,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Beacon Control,Kitchen_BeaconDevice presence equals true,Kitchen_BeaconDevice presence equals true,"<Beacon_Device,presence,present>",Switch on Audio Player through kitchen speakers,"<Audio_Player,switch,on>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Beacon Control,Kitchen_BeaconDevice presence equals true,Kitchen_BeaconDevice presence equals true,"<Beacon_Device,presence,present>",Switch off Audio Player through kitchen speakers,"<Audio_Player,switch,off>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Beacon Control,If Home BeaconDevice presence equals true,If Home BeaconDevice presence equals true,"<Beacon_Device,presence,present>",Set Mode to Home,"<null,locationMode,home>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Make it So,If Mode equals Home,If Mode equals Home,"<null,locationMode,home>",Set Thermostat coolingSetPoint to 70 |  switch off Robot Vacuum,"<Robot_Vacuum-Thermostat,switch-thermostat,off-auto>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,1,,If Home BeaconDevice presence equals false,If Home BeaconDevice presence equals false,"<Beacon_Device,presence,not_present>",Set Mode to Away,"<null,locationMode,away>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Keep Me Cozy,If Mode equals Away,If Mode equals Away,"<null,locationMode,away>",Set Thermostat to coolingSetPointRange to 70-75 |  switch off Lighting Remote |  lock Door Lock |  switch on Robot Vacuum,"<Door_Lock-Lighting_Remote-Robot_Vacuum-Thermostat,lock-switch-switch-thermostat,locked-off-on-auto>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Bright When Dark And/Or Bright After Sunset,If Time equals sunset,If Time equals sunset,"<null,time,evening>",Turn on Light Bulbs |  Shades/Blinds windowShade close,"<Light_Bulb-Shades/Blinds,switch-contact,on-closed>",Few times in a week (1-5/week),Anytime,Evening(5pm-8pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Sleepy Time,If Bedroom_Button pressed,If Bedroom_Button pressed,"<Button,button,pushed>",Switch mode to Night,"<null,locationMode,night>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Keep Me Cozy,If mode equal Night,If mode equal Night,"<null,locationMode,night>",Turn off all Light Bulbs |  Set Thermostat to coolingSetPoint 68,"<Light_Bulb-Thermostat,switch-thermostat,off-auto>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_vzxagf1fnmxrxpf,r-vzxagf1fnmxrxpf,0,Smart turn it on,If Alarm Clock hits alarm,If Alarm Clock hits alarm,"<null,time,morning>",Switch mode to Home |  Shades/Blinds windowShade opened,"<Shades/Blinds-null,contact-locationMode,opened-home>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Ridiculously Automated Garage Door,CarAutomation(Presence) == True,CarAutomation(Presence) == True,"<Car_Automation,presence,present>",GarageDoorOpener(door) = opened,"<Garage_Door_Opener,contact,opened>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Ridiculously Automated Garage Door,GarageDoorOpener(rssi) == low,GarageDoorOpener(rssi) == low,"<Garage_Door_Opener,signalStrength,lesser>",GarageDoorOpener(door) = close,"<Garage_Door_Opener,contact,closed>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Smart turn it on,TimeOfDay == 8:30 am,TimeOfDay == 8:30 am,"<null,time,morning>",CoffeeMaker(switch) = on,"<Coffee_Maker,switch,on>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,1,,CoffeeMaker(temperature) > 100,CoffeeMaker(temperature) > 100,"<Coffee_Maker,temperature,greater>",CoffeeMaker(switch) = off,"<Coffee_Maker,switch,off>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Thermostat Mode Director,AirConditioner(temperature) > 75,AirConditioner(temperature) > 75,"<Temperature_Sensor,temperature,greater>",AirConditioner(switch) = on,"<Air_Conditioner,thermostat,auto>",Few times in a week (1-5/week),Anytime,Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Thermostat Mode Director,AirConditioner(temperature) < 65,AirConditioner(temperature) < 65,"<Temperature_Sensor,temperature,lesser>",AirConditioner(switch) = off,"<Air_Conditioner,thermostat,off>",Few times in a week (1-5/week),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,1,,SmokeDetector(smoke) = true,SmokeDetector(smoke) = true,"<Smoke_Detector,smoke,detected>",SecurityAlarm.alarm(),"<Security_Alarm,alarm,siren_strobe>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Light Up the Night,IlluminanceSensor(level) < 5,IlluminanceSensor(level) < 5,"<Illuminance_Sensor,illuminance,lesser>",FrontDoor_LightBulb(switch) = on,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,0,Light Up the Night,IlluminanceSensor(level) > 5,IlluminanceSensor(level) > 5,"<Illuminance_Sensor,illuminance,greater>",FrontDoor_LightBulb(switch) = off,"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Around noon(11am-1pm),Executed at random (e.g. |  every time I enter the room)
r_3hwfvibwxm8i4g6,r-3hwfvibwxm8i4g6,1,,"Refridgerator_WaterFilter(checkFilter) == ""replace""","Refridgerator_WaterFilter(checkFilter) == ""replace""","<Refrigerator,filterStatus,replace>","sendSMS(""Replace Water Filter"")","<Phone,notification,notify>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Notify Me With Hue,it is night AND I am in the house,it is night AND I am in the house,"<null-null,locationMode-time,home-night>",switch on the Light Bulb,"<Light_Bulb,switch,on>",Few times in a week (1-5/week),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Thermostat Mode Director,Temperature < 68 OR Temperature > 80,Temperature < 68 OR Temperature > 80,"<Temperature_Sensor,temperature,lesser>",Turn on the Air Conditioner,"<Thermostat,thermostat,auto>",Few times in a day (1-5/day),Weekend,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,,0,Thermostat Mode Director,Temperature < 68 OR Temperature > 80,Temperature < 68 OR Temperature > 80,"<Temperature_Sensor,temperature,greater>",Turn on the Air Conditioner,"<Air_Conditioner,thermostat,auto>",Few times in a day (1-5/day),Weekend,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Thermostat Mode Director,Temperature > 74 AND Temperature < 76,Temperature > 74 AND Temperature < 76,"<Temperature_Sensor,temperature,equal>",Turn off the Air Conditioner,"<Air_Conditioner,thermostat,off>",Few times in a day (1-5/day),Weekend,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Power Allowance,Smart TV is On,Smart TV is On,"<Smart_TV,switch,on>",Turn off the Audio Player,"<Audio_Player,switch,off>",Few times in a week (1-5/week),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Lock It When I Leave,There is nobody in the house,There is nobody in the house,"<null,locationMode,away>",Lock the door,"<Door_Lock,lock,locked>",Few times in a day (1-5/day),Weekday,Anytime,Manually-triggered (e.g. |  a button press)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,1,,Glass Break Detector finds a shock,Glass Break Detector finds a shock,"<Glass_Break_Detector,shock,detected>",Open the Security Camera,"<Security_Camera,switch,on>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,1,,When someone is sleeping,When someone is sleeping,"<Sleep_Monitor,sleeping,detected>",Turn off the Smart TV AND turn off the Light AND turn on the Smoke Detector,"<Light_Bulb-Smart_TV,switch-switch,off-off>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,1,,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,"<Gas_Sensor,odorLevel,greater>",Send alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,,1,,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,"<Moisture_Sensor,water,wet>",Send alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,,1,,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,Gas sensor reading > Thres OR Moisture Sensor reading > Thres OR Smoke detect outputs YES,"<Smoke_Detector,smoke,detected>",Send alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_d6ygcdepfcknxlf,r-d6ygcdepfcknxlf,0,Close The Valve,Water Leak Detector outputs wet,Water Leak Detector outputs wet,"<Water_Leak_Detector,water,wet>",Close the valve,"<Water_Valve,contact,closed>",Few times in a month,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,It's Too Hot,airConditionerMode = auto AND temperature >=75,airConditionerMode = auto AND temperature >=75,"<Air_Conditioner-Temperature_Sensor,thermostat-temperature,auto-greater>",switch on the air conditioner AND,"<Air_Conditioner,thermostat,auto>",Many times in a day (5+ /day),Anytime,Afternoon(1pm-5pm) | Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,Smart turn it on,It is 8:00am,It is 8:00am,"<null,time,morning>",Open windowShade,"<Shades/Blinds,contact,opened>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,Smart turn it on,It is 8:00pm,It is 8:00pm,"<null,time,night>",Close windowShade,"<Shades/Blinds,contact,closed>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,1,,setRefrigerationSetpoint >=32,setRefrigerationSetpoint >=32,"<Refrigerator,temperature,greater>",switch on the Refrigerator,"<Refrigerator,switch,on>",Few times in a day (1-5/day),Anytime,Anytime,Scheduled-time (e.g. |  brew coffee at 7 am)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,Close The Valve,water = dry,water = dry,"<Moisture_Sensor,water,dry>",switch off the heater,"<Heater,switch,off>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,Close The Valve,water = wet,water = wet,"<Moisture_Sensor,water,wet>",switch on the heater,"<Heater,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,0,Smart turn it on,It is X:am,It is X:am,"<null,time,morning>",switch on pulse monitor,"<Pulse_Monitor,switch,on>",Few times in a week (1-5/week),Not sure,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_515xv6poxphbd6v,r-515xv6poxphbd6v,1,,airQuality <= X,airQuality <= X,"<Air_Purifier,airQuality,lesser>",switch on Air Qualifier,"<Air_Purifier,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,0,Lighting Director,the illuminance sensor detects low light levels AND the motion sensor detects motion in the room,the illuminance sensor detects low light levels AND the motion sensor detects motion in the room,"<Illuminance_Sensor-Motion_Sensor,illuminance-motion,lesser-detected>",turn the light bulbs on,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,1,,the presence sensor is not detected for more than 24 hours,the presence sensor is not detected for more than 24 hours,"<Presence_Sensor,presence,not_present>",turn the heater/air conditioning off,"<Air_Conditioner-Heater,thermostat-switch,off-off>",Few times in a year,Weekend,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,0,It's Too Cold,the temperature is below 60,the temperature is below 60,"<Temperature_Sensor,temperature,lesser>",set the thermostat to 60,"<Thermostat,thermostat,increased>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,0,It's Too Hot,the temperature is above 80,the temperature is above 80,"<Temperature_Sensor,temperature,greater>",set the thermostat to 80,"<Thermostat,thermostat,decreased>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,0,Smart Auto Lock / Unlock,(the presence sensor is not detected for more than 1 hour OR the time is between 1AM and 5:30AM) AND the door is unlocked,(the presence sensor is not detected for more than 1 hour OR the time is between 1AM and 5:30AM) AND the door is unlocked,"<Door_Lock-Presence_Sensor-null,lock-presence-time,unlocked-not_present-night>",lock the door,"<Door_Lock,lock,locked>",Few times in a week (1-5/week),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am) | Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,0,Smart Auto Lock / Unlock,the presence sensor is not detected for more than 1 hour,the presence sensor is not detected for more than 1 hour,"<Presence_Sensor,presence,not_present>",turn all of the switches off,"<Switches,switch,off>",Few times in a week (1-5/week),Weekday,Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_3nx4ykulhibisap,r-3nx4ykulhibisap,1,,the blinds are closed AND the time is between 10AM and 6PM AND the motion sensor does not detect motion,the blinds are closed AND the time is between 10AM and 6PM AND the motion sensor does not detect motion,"<Motion_Sensor-Shades/Blinds-null,motion-contact-time,not_detected-closed-day>",opened the blinds,"<Shades/Blinds,contact,opened>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am) | Around noon(11am-1pm),Scheduled-time (e.g. |  brew coffee at 7 am) | Executed at random (e.g. |  every time I enter the room)
r_3xzdlarl09jzqjp,r-3xzdlarl09jzqjp,0,Bon Voyage,I am not at home AND door opens AND time is later than 5:00,I am not at home AND door opens AND time is later than 5:00,"<Door_Sensor-null-null,contact-locationMode-time,opened-away-evening>",turn on the light bulb AND turn on the air conditioner,"<Air_Conditioner-Light_Bulb,thermostat-switch,auto-on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Executed at random (e.g. |  every time I enter the room)
r_3xzdlarl09jzqjp,r-3xzdlarl09jzqjp,0,Bon Voyage,I was at home AND door opens AND I am not at home now,I was at home AND door opens AND I am not at home now,"<Door_Sensor-null,contact-locationMode,opened-away>",turn off the air conditioner,"<Air_Conditioner,thermostat,off>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_3xzdlarl09jzqjp,r-3xzdlarl09jzqjp,1,,I am home and I clap twice shortly,I am home and I clap twice shortly,"<Smart_Assistant,voice,command>",turn on the speaker,"<Speaker,switch,on>",Few times in a day (1-5/day),Weekend,Morning(6am- 11am) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Manually-triggered (e.g. |  a button press)
r_3xzdlarl09jzqjp,,1,,,I am home and I say Light Now,"<Smart_Assistant,voice,command>",turn on the light bulb,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_3xzdlarl09jzqjp,,1,,,I am home and I say Dark Now,"<Smart_Assistant,voice,command>",turn off the light bulb,"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_2saqrygf5yuztxa,r-2saqrygf5yuztxa,0,It's Too Hot,the value of the temperature sensor is above 80,the value of the temperature sensor is above 80,"<Temperature_Sensor,temperature,greater>",switch on the air conditioner,"<Air_Conditioner,thermostat,auto>",Many times in a day (5+ /day),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
