ResponseId,ResponseId,Intersection: 0 = common; 1 = unique,Common app name,Trigger,Trigger String,Trigger Tokens,Action,Action Tokens,Frequency,Week,Time,Scheduled
r_dbdobkkronxgv05,,1,,,if the dryer is done (can I do this for my washer |  too?),"<Clothes_Dryer,completion,true>",send a text to my phone,"<Phone,notification,notify>",Few times in a week (1-5/week),Anytime,Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_dbdobkkronxgv05,r-dbdobkkronxgv05,1,,I'm not at home for 15 minutes (possibly use phone GPS?) AND my door is unlocked,I'm not at home for 15 minutes (possibly use phone GPS?) AND my door is unlocked,"<Door_Lock-null,lock-locationMode,unlocked-away>",lock the door,"<Door_Lock,lock,locked>",Few times in a month,Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_dbdobkkronxgv05,r-dbdobkkronxgv05,0,Ridiculously Automated Garage Door,I'm not at home for 15 minutes AND the garage door is open,I'm not at home for 15 minutes AND the garage door is opened,"<Garage_Door_Opener-null,contact-locationMode,opened-away>",closed the garage door and lock it,"<Garage_Door_Opener,contact,closed>",Few times in a month,Anytime,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,0,Smart turn it on,My alarm goes off,My alarm goes off,"<Security_Alarm,alarm,siren_strobe>",Open the window shade,"<Shades/Blinds,contact,opened>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,1,,The sleep monitor detects that I am awake,The sleep monitor detects that I am awake,"<Sleep_Monitor,sleeping,not_detected>",heat water with kettle,"<Water_Heater,switch,on>",Many times in a day (5+ /day),Anytime,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,1,,The sleep monitor detects that I am awake,The sleep monitor detects that I am awake,"<Sleep_Monitor,sleeping,not_detected>",Have the smart TV turn to the news channel,"<Smart_TV,channel,fixed_value>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,1,,Door is open and it is between 8-9:00AM,Door is opened and it is between 8-9:00AM,"<Door_Sensor-null,contact-time,opened-morning>",Turn car on and opened garage door,"<Car_Automation-Garage_Door_Opener,switch-contact,on-opened>",Many times in a day (5+ /day),Weekday,Morning(6am- 11am) | Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am) | Anytime,Scheduled-time (e.g. |  brew coffee at 7 am)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,0,Smart turn it on,It is 8:00PM,It is 8:00PM,"<null,time,night>",Turn smart TV on to CNN,"<Smart_TV,channel,fixed_value>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,1,,The sleep monitor detects I am asleep,The sleep monitor detects I am asleep,"<Sleep_Monitor,sleeping,detected>",Switch electric blanket on,"<Electric_Blanket,switch,on>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,1,,If air quality is below standard,If air quality is below standard,"<Air_Purifier,airQuality,lesser>",Turn air purifier on,"<Air_Purifier,switch,on>",Few times in a day (1-5/day),Not sure,Anytime | Not sure,Executed at random (e.g. |  every time I enter the room)
r_2tqt79dqgpiwrq5,r-2tqt79dqgpiwrq5,0,Smart turn it on,It is 12:00PM,It is 12:00PM,"<null,time,noon>",Turn on robot and set mode to auto,"<Robot_Vacuum,switch,on>",Few times in a day (1-5/day),Anytime,Around noon(11am-1pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_1jvctezkfloduml,r-1jvctezkfloduml,0,Smart turn it on,TIME == 6:00 AM,TIME == 6:00 AM,"<null,time,morning>",LIGHT BULB.switch(),"<Light_Bulb,switch,off>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_1jvctezkfloduml,r-1jvctezkfloduml,0,Smart turn it on,(!Bedroom.MOTION SENSOR.motion),(!Bedroom.MOTION SENSOR.motion),"<Motion_Sensor,motion,not_detected>",LIGHT BULB.switch(),"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_1jvctezkfloduml,r-1jvctezkfloduml,1,,Pulse Monitor < 50,Pulse Monitor < 50,"<Pulse_Monitor,pulse,lesser>",Call emergency contact,"<Phone,notification,notify>",Few times in a year,Not sure,Anytime,Executed at random (e.g. |  every time I enter the room)
r_1jvctezkfloduml,r-1jvctezkfloduml,1,,(!MOTION SENSOR.motion),(!MOTION SENSOR.motion),"<Motion_Sensor,motion,not_detected>",ROBOT VACUUM.switch(),"<Robot_Vacuum,switch,on>",Few times in a day (1-5/day),Anytime,Around noon(11am-1pm) | Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,0,Bon Voyage,It is morning and user leaves home,It is morning and user leaves home,"<null-null,locationMode-time,away-morning>",turn off lights,"<Light_Bulb,switch,off>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,0,Bon Voyage,Nobody is in the home,Nobody is in the home,"<null,locationMode,away>",turn off lights,"<Light_Bulb,switch,off>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,user opens door,user opens door,"<Door_Sensor,contact,opened>",turn on lights,"<Light_Bulb,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,user leaves home AND cooktop is on,user leaves home AND cooktop is on,"<Induction_Cooktop-null,switch-locationMode,on-away>",notify user on smartphone,"<Phone,notification,notify>",Few times in a month,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,0,Auto Humidity Vent,Humidity too low,Humidity too low,"<Humidity_Sensor,humidity,lesser>",switch on humidifier,"<Humidifier,switch,on>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,0,Auto Humidity Vent && It's Too Hot,Humidity too high AND temperature too high,Humidity too high AND temperature too high,"<Humidity_Sensor-Temperature_Sensor,humidity-temperature,greater-greater>",switch on air conditioner,"<Air_Conditioner,thermostat,auto>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,user wakes up,user wakes up,"<null,time,morning>",make coffee,"<Coffee_Maker,switch,on>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,0,Bon Voyage,if user leaves house,if user leaves house,"<null,locationMode,away>",lock doors to house,"<Door_Lock,lock,locked>",Few times in a day (1-5/day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,if any sensor is outside norm,user not in house,"<null,locationMode,away>",turn on heating/cooling based on time set,"<Thermostat,thermostat,auto>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,if air purifier quality is low,if air purifier quality is low,"<Air_Purifier,airQuality,lesser>",purify air,"<Air_Purifier,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,sleep monitor detects sleeping in specific,sleep monitor detects sleeping in specific,"<Sleep_Monitor,sleeping,detected>",turn off lights in specific room,"<Light_Bulb,switch,off>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_2roqehi46yvdthx,r-2roqehi46yvdthx,1,,motion at front door,motion at front door,"<Motion_Sensor,motion,detected>",turn on lights AND notify user,"<Light_Bulb-Phone,switch-notification,on-notify>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_3mscyvnjfdcsa5p,,0,Weather Underground PWS Connect,,9:10 AM,"<null,time,morning>",report weather in Williamsburg |  VA,"<Weather_Station,weather,notify>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3mscyvnjfdcsa5p,,1,,,9:05am and traffic is worse than usual,"<External_API-null,traffic-time,heavy-morning>",report traffic for commute in Williamsburg |  VA,"<External_API,traffic,notify>",Few times in a month,Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_3mscyvnjfdcsa5p,,0,Weather Underground PWS Connect,,5:30 PM,"<null,time,evening>",report daily news,"<External_API,news,notify>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,0,Smart turn it on,it is time for me to wake up (e.g. my morning alarm goes off),it is time for me to wake up (e.g. my morning alarm goes off),"<null,time,morning>",turn the coffee maker on AND opened my windowShade.,"<Coffee_Maker-Shades/Blinds,switch-contact,on-opened>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,I put my phone on Do Not Disturb AND I start charging it (e.g. I go to bed),I put my phone on Do Not Disturb AND I start charging it (e.g. I go to bed),"<null,locationMode,night>",lock my house |  close the garage door |  turn off all of the lights |  turn off the coffeeMaker |  turn off the smartTV |  turn off the speaker |  close my windowShade |  and turn off the Gas Stove. (Note: If any of these are already off |  they will remain off),"<Coffee_Maker-Door_Lock-Garage_Door_Opener-Gas_Stove-Light_Bulb-Shades/Blinds-Smart_TV-Speaker,switch-lock-contact-switch-switch-contact-switch-switch,off-locked-closed-off-off-closed-off-off>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Manually-triggered (e.g. |  a button press)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,securityAlarm AND no one is home,securityAlarm AND no one is home,"<Security_Alarm-null,alarm-locationMode,siren_strobe-away>",email me the alarm information AND text me AND call me AND Lock the doors AND (turn on all of the lights AND set the lights to strobe blue and red) AND put the speaker on high volume to a random station AND turn on the Smart TV AND opened all of the blinds AND alert the police.,"<Door_Lock-Light_Bulb-Phone-Shades/Blinds-Smart_TV-Speaker,lock-colorValue-notification-contact-switch-volume,locked-fixed_value-notify-opened-on-fixed_value>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,family is on vacation AND it is morning,family is on vacation AND it is morning,"<null-null,locationMode-time,vacation-morning>",turn off Air Cooler AND opened shades AND turn on radio for 1 hour AND send sensor information in email,"<Air_Cooler-Audio_Player-Phone-Shades/Blinds,switch-switch-notification-contact,off-on-notify-opened>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,family is on vacation AND it is night,family is on vacation AND it is night,"<null-null,locationMode-time,vacation-night>",close shades AND turn on Lights for 4 hours AND turn on radio for 1 hour AND send sensor information in email,"<Audio_Player-Light_Bulb-Phone-Shades/Blinds,switch-switch-notification-contact,on-on-notify-closed>",Few times in a year,Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,it is going to be cold tomorrow,it is going to be cold tomorrow,"<Weather_Station,cold,true>",send alert to my phone to bring a coat AND warm house up when needed,"<Phone-Thermostat,notification-thermostat,notify-auto>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am) | Around noon(11am-1pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_sdzxdocunidjldj,r-sdzxdocunidjldj,1,,it is going to rain tomorrow,it is going to rain tomorrow,"<Weather_Station,rain,true>",remind me to bring an umbrella AND close my doors AND close my windows,"<Door_Lock-Phone-Shades/Blinds,lock-notification-contact,locked-notify-closed>",Few times in a week (1-5/week),Anytime,Morning(6am- 11am) | Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am) | Executed at random (e.g. |  every time I enter the room)
r_1qrbcgnonzkg8rw,r-1qrbcgnonzkg8rw,1,,it is night AND the Open/Close Sensor is Open,it is night AND the Open/Close Sensor is Open,"<Contact_Sensor-null,contact-time,opened-night>",turn on an alarm,"<Security_Alarm,alarm,siren_strobe>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Executed at random (e.g. |  every time I enter the room)
r_1qrbcgnonzkg8rw,r-1qrbcgnonzkg8rw,0,Auto Humidity Vent,the Humidity Sensor is registering High,the Humidity Sensor is registering High,"<Humidity_Sensor,humidity,greater>",turn off the Smart Mirror,"<Smart_Mirror,switch,off>",Few times in a day (1-5/day),Anytime,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_1qrbcgnonzkg8rw,r-1qrbcgnonzkg8rw,1,,the Doorbell is triggered,the Doorbell is triggered,"<Doorbell,button,pushed>",turn on the Security Camera,"<Security_Camera,switch,on>",Few times in a week (1-5/week),Weekday,Afternoon(1pm-5pm) | Evening(5pm-8pm),Manually-triggered (e.g. |  a button press)
r_1iorc2uhqakwmcw,r-1iorc2uhqakwmcw,0,Smart turn it on,it is when my alarm is set to go off AND it is a weekday,it is when my alarm is set to go off AND it is a weekday,"<null,time,morning>",Coffee Maker switch on AND AND Thermostat setHeatingSetpoint +3 degrees AND Light Bulb setMode Morning,"<Coffee_Maker-Light_Bulb-Thermostat,switch-colorValue-thermostat,on-fixed_value-increased>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_1iorc2uhqakwmcw,r-1iorc2uhqakwmcw,0,BeaconThings Manager,Beacon Device senses phone presence outside front door AND it is weekday,Beacon Device senses phone presence outside front door AND it is weekday,"<Beacon_Device,presence,present>",Thermostat setHeatingSetPoint -3 degrees AND Light Bulb switch off AND Bread Maker switch on AND Bread Maker setCompletionTime 5 pm,"<Bread_Maker-Light_Bulb-Thermostat,switch-switch-thermostat,on-off-decreased>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Executed at random (e.g. |  every time I enter the room)
r_1iorc2uhqakwmcw,r-1iorc2uhqakwmcw,0,BeaconThings Manager,Beacon Device senses phone presence outside front door AND it is evening,Beacon Device senses phone presence outside front door AND it is evening,"<Beacon_Device-null,presence-time,present-evening>",Thermostat setHeatingSetPoint +3 degrees AND Light Bulb switch on AND Bread Maker sessionStatus stop,"<Bread_Maker-Light_Bulb-Thermostat,switch-switch-thermostat,off-on-increased>",Few times in a week (1-5/week),Weekday,Afternoon(1pm-5pm),Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Make It So,Away,Away,"<null,locationMode,away>",robot vacuum on,"<Robot_Vacuum,switch,on>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Make It So,Away,Away,"<null,locationMode,away>",AC off,"<Air_Conditioner,thermostat,off>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Make It So,Away,Away,"<null,locationMode,away>",Gas Stvoe off,"<Gas_Stove,switch,off>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Make It So,Away,Away,"<null,locationMode,away>",microwave/oven off,"<Microwave_Oven,switch,off>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Make It So,Away,Away,"<null,locationMode,away>",waterheat off,"<Water_Heater,switch,off>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. |  every time I enter the room)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,1,,dust detect signal bad air quality,dust detect signal bad air quality,"<Air_Purifier,airQuality,lesser>",air purifier on,"<Air_Purifier,switch,on>",Few times in a week (1-5/week),Anytime,Anytime,Manually-triggered (e.g. |  a button press)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Smart turn it on,morning,morning,"<null,time,morning>",curtain/shades opened,"<Shades/Blinds,contact,opened>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_2mzjport1hvxhfz,r-2mzjport1hvxhfz,0,Smart turn it on,night,night,"<null,time,night>",curtain/shade close,"<Shades/Blinds,contact,closed>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_20nebgwf7zysh3z,r-20nebgwf7zysh3z,0,Smart turn it on,it is 10:00 AM,it is 10:00 AM,"<null,time,morning>",opened Bedroom_Shade to a preset position AND unmute the speaker,"<Shades/Blinds-Speaker,threeAxis-mute,fixed_value-unmuted>",Few times in a week (1-5/week),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_20nebgwf7zysh3z,r-20nebgwf7zysh3z,0,Smart turn it on,it is 12:00 AM,it is 12:00 AM,"<null,time,night>",Turn the TV off AND Toggle bulb off,"<Light_Bulb-Smart_TV,switch-switch,off-off>",Few times in a week (1-5/week),Anytime,Night(8pm-6am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Smart turn it on,Air_Conditioner.swtch is off AND Time is 5:00pm,Air_Conditioner.swtch is off AND Time is 5:00pm,"<Air_Conditioner-null,thermostat-time,off-evening>",Air_Conditioner.swith = on,"<Air_Conditioner,thermostat,auto>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Smart turn it on,Air_Conditioner.swtch is on AND Time is 9:00am,Air_Conditioner.swtch is on AND Time is 9:00am,"<Air_Conditioner-null,thermostat-time,auto-morning>",Air_Conditioner.swith = off,"<Air_Conditioner,thermostat,off>",Few times in a day (1-5/day),Weekday,Evening(5pm-8pm),Scheduled-time (e.g. |  brew coffee at 7 am)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,1,,Air_Conditioner.swtch is on AND Air_Conditioner.temperature < 70F,Air_Conditioner.swtch is on AND Air_Conditioner.temperature < 70F,"<Air_Conditioner-Temperature_Sensor,thermostat-temperature,auto-lesser>",Air_Conditioner.airConditionerMode = heat,"<Air_Conditioner,thermostat,increased>",Few times in a day (1-5/day),Anytime,Not sure,Executed at random (e.g. |  every time I enter the room)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Smart turn it on,Coffee_Maker is off and Time is 7:00am,Coffee_Maker is off and Time is 7:00am,"<Coffee_Maker-null,switch-time,off-morning>",Coffee_Maker.switch = on,"<Coffee_Maker,switch,on>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Light Follows Me,Living_room.Light_Bulb.switch = off and Living_room.motion_sensor.motion==True,Living_room.Light_Bulb.switch = off and Living_room.motion_sensor.motion==True,"<Light_Bulb-Motion_Sensor,switch-motion,off-detected>",Living_room.Light_Bulb.switch = on,"<Light_Bulb,switch,on>",Few times in a day (1-5/day),Weekday,Anytime,Manually-triggered (e.g. |  a button press)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Darken Behind Me,Living_room.Light_Bulb.switch = on and Living_room.motion_sensor.motion==False,Living_room.Light_Bulb.switch = on and Living_room.motion_sensor.motion==False,"<Light_Bulb-Motion_Sensor,switch-motion,on-not_detected>",Living_room.Light_Bulb.switch = off,"<Light_Bulb,switch,off>",Many times in a day (5+ /day),Anytime,Anytime,Manually-triggered (e.g. |  a button press)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Smart turn it on,Bread_Maker is off and Time is 7:00am,Bread_Maker is off and Time is 7:00am,"<Bread_Maker-null,switch-time,off-morning>",Bread_Maker.switch=On,"<Bread_Maker,switch,on>",Few times in a day (1-5/day),Weekday,Morning(6am- 11am),Scheduled-time (e.g. |  brew coffee at 7 am)
r_24q0mhp98xnrlwz,r-24q0mhp98xnrlwz,0,Turn It On When It Opens,Front_Yard.Open/Close_Sensor.contact is OFF,Front_Yard.Open/Close_Sensor.contact is OFF,"<Contact_Sensor,contact,opened>",Front_Yard.security_camera.image = take,"<Security_Camera,image,take>",Few times in a day (1-5/day),Weekday,Anytime,Manually-triggered (e.g. |  a button press)
r_1l3tvavdyzoaodc,,0,Auto Humidity Vent,,humidity is low,"<Humidity_Sensor,humidity,lesser>",turn on humidifier,"<Humidifier,switch,on>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. | every time I enter the room)
r_1l3tvavdyzoaodc,,1,,,someone enters the apartment/my room,"<Door_Sensor,contact,opened>",send me a notification,"<Phone,notification,notify>",Few times in a day (1-5/day),Weekday,Around noon(11am-1pm) | Afternoon(1pm-5pm) | Evening(5pm-8pm),Executed at random (e.g. | every time I enter the room)
r_1l3tvavdyzoaodc,,0,Bright When Dark And/Or Bright After Sunset,,it's 10pm,"<null,time,night>",dim the light to warmer color,"<Light_Bulb,colorValue,fixed_value>",Few times in a day (1-5/day),Weekday,Night(8pm-6am),Scheduled-time (e.g. | brew coffee at 7 am)
r_1l3tvavdyzoaodc,,1,,,stove is on for more than 2 hours,"<Gas_Stove-null,switch-timer,on-completed>",turn it off,"<Gas_Stove,switch,off>",Few times in a month,Not sure,Anytime,Executed at random (e.g. | every time I enter the room)
r_1l3tvavdyzoaodc,,1,,,blood pressure is not normal,"<Blood_Pressure_Monitor,pressure,greater>",let me know,"<Phone,notification,notify>",Few times in a year,Not sure,Not sure,Executed at random (e.g. | every time I enter the room)
r_1l3tvavdyzoaodc,,1,,,blood pressure is not normal,"<Blood_Pressure_Monitor,pressure,lesser>",let me know,"<Phone,notification,notify>",Few times in a year,Not sure,Not sure,Executed at random (e.g. | every time I enter the room)
r_1nc8gmtftyizeph,,0,Smart turn it on,,time=7 am,"<null,time,morning>",switch: on,"<Switches,switch,on>",Many times in a day (5+ /day),Weekday,Morning(6am- 11am),Scheduled-time (e.g. | brew coffee at 7 am)
r_1nc8gmtftyizeph,,0,Smart turn it on,,The time is 7 pm AND the switch is off,"<Switches-null,switch-time,off-evening>",Turn on the switch,"<Switches,switch,on>",Many times in a day (5+ /day),Weekday,Evening(5pm-8pm),Scheduled-time (e.g. | brew coffee at 7 am)
r_2ocbmvodknbqmff,,0,Smart turn it on,,time=10pm to 7 am,"<null,time,night>",airConditionerMode=cool | level=73 | lightBulb.level= 2,"<Air_Conditioner-Light_Bulb,thermostat-colorValue,auto-fixed_value>",Few times in a day (1-5/day),Anytime,Night(8pm-6am),Scheduled-time (e.g. | brew coffee at 7 am) | Executed at random (e.g. | every time I enter the room)
r_2ocbmvodknbqmff,,0,Smart Care - Detect Motion,,motionSensor.motion= true AND securityCamera.image,"<Motion_Sensor-Security_Camera,motion-image,detected-take>",google assistant scan image if image found then announce visitor through speaker,"<Smart_Assistant,notification,notify>",Many times in a day (5+ /day),Anytime,Anytime,Executed at random (e.g. | every time I enter the room)
r_2ocbmvodknbqmff,,1,,,time = 6pm to 9pm AND refrigerator.doorOpen= true,"<Refrigerator-null,contact-time,opened-evening>",play music on speaker,"<Speaker,switch,on>",Few times in a day (1-5/day),Anytime,Evening(5pm-8pm) | Night(8pm-6am),Executed at random (e.g. | every time I enter the room)
r_2ocbmvodknbqmff,,1,,,moistureSensor.water=dry,"<Moisture_Sensor,water,dry>",humidifier.switch= on,"<Humidifier,switch,on>",Few times in a week (1-5/week),Anytime,Anytime,Executed at random (e.g. | every time I enter the room)
,,118,,,,,,,,,,
,,0.430656934,,,,,,,,,,
